Date,Slug,Usage,BYOK Usage,Requests,Prompt Tokens,Completion Tokens,Reasoning Tokens,API Key
"2026-04-16 00:00:00","openai/gpt-5-nano","0.001267","0","1","9475","1984","1984","Unknown"
"2026-04-16 00:00:00","openai/gpt-4o-mini","0.00233","0","3","13578","698","0","Unknown"
"2026-04-15 00:00:00","openai/gpt-5-nano","0.024487","0","30","53354","54585","54016","Unknown"
"2026-04-15 00:00:00","x-ai/grok-4.1-fast","0.390127","0","155","2055931","218535","160049","Unknown"
"2026-04-15 00:00:00","qwen/qwen3.6-plus","0.342615","0","56","112599","156948","132305","Unknown"
"2026-04-15 00:00:00","openai/gpt-oss-20b","0.039214","0","155","154967","153667","127402","Unknown"
"2026-04-15 00:00:00","openai/gpt-4o-mini","0.013743","0","22","46650","11265","0","Unknown"
"2026-04-15 00:00:00","anthropic/claude-sonnet-4.6","0.014823","0","2","1691","650","0","Unknown"
"2026-04-14 00:00:00","openai/gpt-5-nano","0.02194","0","27","48989","48760","48128","Unknown"
"2026-04-14 00:00:00","x-ai/grok-4.1-fast","0.138698","0","46","740598","53564","39393","Unknown"
"2026-04-14 00:00:00","qwen/qwen3.6-plus","0.137993","0","27","36865","64628","57067","Unknown"
"2026-04-14 00:00:00","openai/gpt-4o-mini","0.013466","0","24","49866","10205","0","Unknown"
"2026-04-14 00:00:00","openai/gpt-oss-20b","0.028781","0","122","105734","122167","103448","Unknown"
"2026-04-13 00:00:00","openai/gpt-oss-20b","0.040669","0","185","148387","180357","151696","Unknown"
"2026-04-13 00:00:00","x-ai/grok-4.1-fast","0.066714","0","18","389699","29302","20083","Unknown"
"2026-04-13 00:00:00","qwen/qwen3.5-flash-02-23","0.003013","0","2","2783","10897","10419","Unknown"
"2026-04-13 00:00:00","qwen/qwen3.6-plus","0.145641","0","22","53823","65723","54507","Unknown"
"2026-04-13 00:00:00","deepseek/deepseek-v3.2","0.006743","0","3","21185","3256","0","Unknown"
"2026-04-12 00:00:00","minimax/minimax-m2.7","0.008507","0","5","6732","2956","2095","Unknown"
"2026-04-12 00:00:00","openai/gpt-4.1-nano","0.000467","0","4","2940","437","0","Unknown"
"2026-04-12 00:00:00","openai/gpt-oss-20b","0.024687","0","117","92748","109322","93839","Unknown"
"2026-04-12 00:00:00","qwen/qwen3.5-flash-02-23","0.045437","0","43","231567","116952","108247","Unknown"
"2026-04-12 00:00:00","qwen/qwen3.6-plus","0.060851","0","13","17021","28372","25407","Unknown"
"2026-04-12 00:00:00","x-ai/grok-4.1-fast","0.016119","0","4","88392","3782","2772","Unknown"
"2026-04-11 00:00:00","deepseek/deepseek-v3.2","0.000761","0","1","1732","700","0","Unknown"
"2026-04-11 00:00:00","qwen/qwen3.5-flash-02-23","0.00142","0","2","2808","4761","4405","Unknown"
"2026-04-11 00:00:00","google/gemini-2.5-flash-lite","0.005165","0","39","29849","5491","0","Unknown"
"2026-04-11 00:00:00","qwen/qwen3.6-plus","0.092157","0","13","31691","41981","34659","Unknown"
"2026-04-11 00:00:00","anthropic/claude-sonnet-4","0.007308","0","2","1241","239","0","Unknown"
