generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1776283905-75yjFvflcarhXjfuj8AP,2026-04-15 20:11:45.760,0.000364,,,0,0,1621,1005,793,67,openai/gpt-oss-20b,Google,standard,false,true,,stop,stop,2902,213,BuildOS Next Steps Generator,buildos
gen-1776283873-GYe18ghAwIrL7Qk5oZIl,2026-04-15 20:11:13.453,0.003666,,,0,0,1230,1675,1548,0,qwen/qwen3.6-plus-04-02,Alibaba,standard,false,true,,stop,stop,30905,840,BuildOS Next Steps Generator,buildos
gen-1776279016-PCBcm2NZjez9iNspyIEt,2026-04-15 18:50:16.037,0.009356,,,0,0,5424,3894,3314,0,qwen/qwen3.6-plus-04-02,Alibaba,standard,false,true,,stop,stop,71089,1087,,buildos
gen-1776279008-HyqMJiXylVUOLUtaqveW,2026-04-15 18:50:08.271,0.001653,,-0.002168,,0,17335,709,327,14455,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,7139,3936,,buildos
gen-1776278992-BnJfihFNQL2kWR5WB2Nq,2026-04-15 18:49:52.387,0.001755,,-0.001727,,0,14460,1181,777,11515,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,tool_calls,12812,11812,,buildos
gen-1776278974-Sizy9eZA5xjWdRmlWNeR,2026-04-15 18:49:34.913,0.002978,,-0.000022,,0,11520,1393,1011,148,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,tool_calls,13374,11347,,buildos
gen-1776278944-fFxCVfaRiz6kJJgxffoy,2026-04-15 18:49:04.748,0.00268,,-0.00008,,0,6130,3070,2807,539,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,tool_calls,28312,27057,,buildos
gen-1776278927-U8pJHjmYjTcQ92DHoQHh,2026-04-15 18:48:47.252,0.013274,,,0,0,3904,6157,4940,0,qwen/qwen3.6-plus-04-02,Alibaba,standard,false,true,,stop,stop,111875,1061,,buildos
gen-1776278916-L6p0U69JqiK8xlVrpmBC,2026-04-15 18:48:36.348,0.001505,,-0.001934,,0,14760,975,604,12896,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,9974,7046,,buildos
gen-1776278890-50vYE8uP5QbdE0zgLdKe,2026-04-15 18:48:10.814,0.003465,,-0.000022,,0,12896,1816,1264,148,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,tool_calls,19389,16691,,buildos
gen-1776278877-hG9msL44Kyt4tZs4zodY,2026-04-15 18:47:57.096,0.001509,,-0.000846,,0,8432,1338,1113,5641,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,tool_calls,13590,12383,,buildos
gen-1776278854-V3UYIdgDqLwhRHBpzoeM,2026-04-15 18:47:34.330,0.002099,,-0.000043,,0,5646,2029,1880,293,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,tool_calls,21658,21069,,buildos
gen-1776278826-oY5EVhhAEVoYfSJ1rG5H,2026-04-15 18:47:06.097,0.00658,,,0,0,959,3215,2220,0,qwen/qwen3.6-plus-04-02,Alibaba,standard,false,true,,stop,stop,58579,847,,buildos
gen-1776278815-Uvb99EIwU69UagrKBsut,2026-04-15 18:46:55.946,0.001266,,-0.000022,,0,4377,827,570,148,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,9371,7108,,buildos
gen-1776278793-kXdcxgovvwoApsJ6I9fT,2026-04-15 18:46:33.193,0.001721,,-0.000022,,0,3554,2065,1427,148,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,tool_calls,10885,10856,,buildos
gen-1776278793-MKI1oCcu85MymYUbUIE5,2026-04-15 18:46:32.999,0.012178,,,0,0,5348,5354,4442,0,qwen/qwen3.6-plus-04-02,Alibaba,standard,false,true,,stop,stop,97347,1079,,buildos
gen-1776278781-z5zY1CZTeHLuevQXQJkK,2026-04-15 18:46:21.232,0.001597,,-0.002513,,0,18203,941,580,16758,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,10311,7700,,buildos
gen-1776278752-HUA5FWXE7bmvXhhxE2nF,2026-04-15 18:45:52.261,0.002477,,-0.002068,,0,16763,2387,1673,13789,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,tool_calls,24206,18907,,buildos
gen-1776278733-n9CDK5kF61SwQriNTUCA,2026-04-15 18:45:33.290,0.002421,,-0.00105,,0,13794,1427,811,7004,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,tool_calls,14022,9626,,buildos
gen-1776278700-vQoxGgEOF3lOGsXr1kch,2026-04-15 18:45:00.076,0.002761,,-0.000446,,0,7758,3313,2940,2977,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,tool_calls,32213,29342,,buildos
gen-1776278619-54Uv9RCZSWmnt7gk85KR,2026-04-15 18:43:39.330,0.012795,,,0,0,3040,6055,5121,0,qwen/qwen3.6-plus-04-02,Alibaba,standard,false,true,,stop,stop,109940,1011,,buildos
gen-1776278605-iiaRiWGRNBkvJwauVlmd,2026-04-15 18:43:25.213,0.001573,,-0.001809,,0,13391,1409,1056,12060,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,13484,10767,,buildos
gen-1776278584-TwjoCuHS4x7Mszh2ET7t,2026-04-15 18:43:04.201,0.002329,,-0.000984,,0,12060,1803,1336,6562,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,tool_calls,17959,14317,,buildos
gen-1776278550-x2tCKG7WDSlUko8gs1cQ,2026-04-15 18:42:30.428,0.002565,,-0.001042,,0,9658,3353,3196,6951,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,tool_calls,33465,32363,,buildos
gen-1776278515-sWyDjWuCblHVlUAVmDEC,2026-04-15 18:41:55.143,0.002739,,-0.000164,,0,6956,3025,2753,1097,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,tool_calls,33331,31259,,buildos
gen-1776278482-C0eSzNOi9ihhJHNQFKce,2026-04-15 18:41:22.221,0.007372,,,0,0,948,3623,3034,0,qwen/qwen3.6-plus-04-02,Alibaba,standard,false,true,,stop,stop,66032,870,,buildos
gen-1776278470-Dwd9N1N6N6TWX70Dgusa,2026-04-15 18:41:10.788,0.000776,,-0.00078,,0,5541,898,697,5204,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,10287,8889,,buildos
gen-1776278452-vwGuNU1raajZcK9IXf0V,2026-04-15 18:40:52.313,0.00122,,-0.000766,,0,5112,1930,1633,5111,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,tool_calls,11674,10585,,buildos
gen-1776278414-R8W39eub0gXpv6MSYez2,2026-04-15 18:40:14.017,0.006542,,,0,0,914,3203,2715,0,qwen/qwen3.6-plus-04-02,Alibaba,standard,false,true,,stop,stop,58859,1283,,buildos
gen-1776278405-MYd4Y7Xl84LlyXyjdPe7,2026-04-15 18:40:05.859,0.001487,,-0.000022,,0,5921,650,486,148,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,7339,5726,,buildos
gen-1776278371-VsjkBfiDL27LMYy9eAgg,2026-04-15 18:39:30.897,0.002979,,-0.000022,,0,5112,3959,3286,148,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,tool_calls,22890,20345,,buildos
